aggregationmethod,date,version,airportname,percentofbaseline,centroid,city,state,iso_3166_2,country,geography
Daily,2020-03-31,1,Boston Logan International,71,POINT (-71.0102909977 42.3636330377),Boston,Massachusetts,US-MA,United States of America (the),"POLYGON ((-71.005089283 42.3472534333, -71.0033082962 42.3561337597, -70.9991025925 42.3567680207, -70.9948968887 42.3537552238, -70.9916353226 42.3535332226, -70.9860777855 42.3575291255, -70.9875583649 42.3622699664, -70.997364521 42.3607478625, -71.0019135475 42.3641091261, -70.9977293015 42.3772195063, -71.0062265396 42.3797239593, -71.011505127 42.3714335211, -71.0169017315 42.3746515458, -71.0213971138 42.3780675443, -71.0222446918 42.3781071719, -71.0242724419 42.3769579596, -71.0261178017 42.3777980755, -71.0270082951 42.3770372163, -71.0289716721 42.3755550994, -71.0292613506 42.3740174653, -71.0290896893 42.3735181224, -71.0284996033 42.3728761043, -71.0269224644 42.3714573002, -71.0263109207 42.3707835552, -71.0259997845 42.3695311629, -71.0255277157 42.3683897204, -71.0246694088 42.3660116485, -71.0245192051 42.3649731955, -71.025570631 42.3588768926, -71.0269761086 42.3575132692, -71.0076642036 42.346809384, -71.005089283 42.3472534333))"
Daily,2020-03-31,1,Calgary International,91,POINT (-114.013122872 51.1184753728),Calgary,Alberta,CA-AB,Canada,"POLYGON ((-113.981866837 51.1392131914, -113.981823921 51.1403440857, -114.022593498 51.1396978638, -114.034609795 51.1412864766, -114.034953117 51.1409095225, -114.035768509 51.1374898705, -114.035167694 51.1365474021, -114.036283493 51.1361165531, -114.036626816 51.1350932704, -114.036798477 51.1334775148, -114.038922787 51.1308113944, -114.041347504 51.1287780375, -114.04239893 51.1276064601, -114.042677879 51.1263405844, -114.04304266 51.1246033156, -114.038965702 51.1204820911, -114.035382271 51.1164951972, -114.035747051 51.1159833413, -114.029717445 51.1101908927, -114.036819935 51.1062839477, -114.036755562 51.0958413531, -114.03031826 51.0958683047, -114.02801156 51.0952180914, -114.025908709 51.0935301892, -114.023172855 51.092694638, -114.015083313 51.0926339925, -114.011285305 51.0926744228, -114.001328945 51.0926474693, -114.001393318 51.0991428154, -113.999955654 51.1015682293, -113.994419575 51.1083048225, -113.992810249 51.1082913503, -113.992810249 51.1045728712, -113.987832069 51.1045728712, -113.987810612 51.1081566281, -113.986566067 51.1092478673, -113.986544609 51.1241454199, -113.987488747 51.1246302505, -113.987494111 51.1265661552, -113.986635804 51.1271014607, -113.986608982 51.1393410915, -113.981866837 51.1392131914))"
Daily,2020-03-31,1,Charlotte Douglas International,81,POINT (-80.9478114283 35.2136892261),Charlotte,North Carolina,US-NC,United States of America (the),"POLYGON ((-80.9332966805 35.2337368341, -80.9415578842 35.2348585377, -80.9533381462 35.2322645744, -80.9544271231 35.2322601927, -80.9558755159 35.2320498677, -80.9573614597 35.2320498677, -80.9583055973 35.232023577, -80.9596681595 35.2318088696, -80.9606873989 35.2313750713, -80.9613150358 35.2308667794, -80.9624147415 35.2295609805, -80.9629458189 35.2291184063, -80.9636485577 35.2288993093, -80.965526104 35.2288817815, -80.9662020206 35.2290745869, -80.9673392773 35.2294119954, -80.9686160088 35.2293375027, -80.9700322151 35.2284961692, -80.9702467918 35.225621547, -80.9700536728 35.2237810342, -80.9683585167 35.2175054483, -80.9676718712 35.2078632395, -80.9679508209 35.2040586349, -80.9679937363 35.1993771486, -80.9667491913 35.1942920825, -80.9648823738 35.1931347472, -80.9641313553 35.1922053599, -80.9641098976 35.1911532105, -80.9574043751 35.1904430019, -80.9556233883 35.1938712352, -80.9542930126 35.1949408846, -80.9521365166 35.1956948912, -80.9455704689 35.1968171207, -80.9395837784 35.1977464552, -80.9361720085 35.1970450716, -80.932803154 35.1967645165, -80.9307003021 35.1981146792, -80.9284257889 35.2011305459, -80.926451683 35.2037956372, -80.9246706963 35.2050755513, -80.9224176407 35.2057943983, -80.9235334396 35.2085820619, -80.9242200851 35.2110715925, -80.9238660336 35.2131841272, -80.9234046936 35.2157261086, -80.9241020679 35.2193461034, -80.9249281883 35.220327769, -80.9284821153 35.2236539497, -80.9289166331 35.2244405561, -80.9304213524 35.2269361734, -80.9319126606 35.2284874052, -80.9341228008 35.229723111, -80.9332966805 35.2337368341))"
Daily,2020-03-31,1,Chicago OHare International,77,POINT (-87.910595204 41.9804600429),Chicago,Illinois,US-IL,United States of America (the),"POLYGON ((-87.9397845268 41.9608463705, -87.935321331 41.9600485672, -87.9347634315 41.9589316258, -87.9341840744 41.956905125, -87.9326820374 41.9559157862, -87.9275751114 41.9551338786, -87.9203867912 41.955070049, -87.9183912277 41.9545753673, -87.9080057144 41.9515912382, -87.9015040398 41.9507773605, -87.897233963 41.9509688621, -87.8950238228 41.9526923502, -87.8898310661 41.9574636159, -87.8886508942 41.9579742319, -87.8871917725 41.9580859286, -87.8841876984 41.9572880907, -87.8792953491 41.9613090918, -87.8766775131 41.9643725414, -87.8759050369 41.9681378297, -87.8785228729 41.9772310404, -87.8786087036 41.9814102912, -87.8783082962 41.9870885284, -87.8796386719 41.9899912518, -87.8827285767 41.9918412701, -87.8841018677 41.9936274437, -87.884144783 41.9951584098, -87.884016037 41.9984115904, -87.8930711746 42.0001019029, -87.8939723969 42.0013775807, -87.8938436508 42.0052044606, -87.8969335556 42.0066713703, -87.9031991959 42.0084571277, -87.9056882858 42.0091267737, -87.910194397 42.009094886, -87.9357290268 42.0083933515, -87.9405784607 42.0085527918, -87.9397845268 41.9608463705))"
Daily,2020-03-31,1,Dallas/Fort Worth International,68,POINT (-97.0394983969 32.8940590356),Grapevine,Texas,US-TX,United States of America (the),"POLYGON ((-97.0429444313 32.9265900261, -97.0492315292 32.9262478188, -97.0573425293 32.9238343191, -97.0585012436 32.9222492983, -97.0609903336 32.9193313451, -97.0637798309 32.9181785469, -97.0679855347 32.9181785469, -97.0684146881 32.9064335597, -97.0653676987 32.9034430227, -97.0654964447 32.8972454438, -97.0603895187 32.8919483321, -97.0604324341 32.8782536505, -97.0571279526 32.8703602281, -97.0531368256 32.8651336028, -97.0493602753 32.8621777197, -97.028503418 32.8617811913, -97.0253276825 32.8622498156, -97.0178604126 32.8683777513, -97.0121526718 32.8702520941, -97.0120668411 32.898470581, -97.0151996613 32.898470581, -97.022023201 32.8985786806, -97.0214867592 32.9204661161, -97.0244693756 32.9230418123, -97.0265936852 32.9245727849, -97.0300269127 32.9256534556, -97.0341038704 32.9260857201, -97.0368933678 32.9265720152, -97.0429444313 32.9265900261))"
Daily,2020-03-31,1,Daniel K. Inouye International,92,POINT (-157.918285205 21.3259652489),Urban Honolulu,Hawaii,US-HI,United States of America (the),"POLYGON ((-157.926621437 21.3389395548, -157.927393913 21.3349621629, -157.927640676 21.3346423679, -157.928853035 21.3340927186, -157.929121256 21.3335730483, -157.9291749 21.3325137147, -157.9297328 21.332463746, -157.930333614 21.3326736146, -157.930580378 21.3321339518, -157.930548191 21.3293256741, -157.930569649 21.3225795917, -157.922651768 21.3107457147, -157.90299654 21.3247583604, -157.901751995 21.3319540637, -157.914583683 21.3337929091, -157.91488409 21.3343525531, -157.914283276 21.336810964, -157.914862633 21.3370308199, -157.91544199 21.3338728583, -157.918553352 21.3344924637, -157.918252945 21.3373905833, -157.918252945 21.3376903855, -157.926621437 21.3389395548))"
Daily,2020-03-31,1,Denver International,59,POINT (-104.700315559 39.8643468206),Denver,Colorado,US-CO,United States of America (the),"POLYGON ((-104.661254883 39.8242265705, -104.661340714 39.9048641265, -104.709320068 39.9056542216, -104.732751846 39.8957773778, -104.733610153 39.8713425363, -104.754638672 39.8715401575, -104.747772217 39.8592865639, -104.745883942 39.8541473089, -104.746484756 39.8311477239, -104.694128036 39.829763549, -104.693956375 39.8242265705, -104.661254883 39.8242265705))"
Daily,2020-03-31,1,Detroit Metropolitan Wayne County,52,POINT (-83.353731472 42.2129725989),Romulus,Michigan,US-MI,United States of America (the),"POLYGON ((-83.3714675903 42.228390246, -83.388504982 42.2059512762, -83.3884620667 42.2018503764, -83.3880329132 42.1985122381, -83.3832263947 42.1944744447, -83.3773469925 42.1952693063, -83.368678093 42.1935523928, -83.3560180664 42.1914856756, -83.3514261246 42.1918990245, -83.3458042145 42.1940611128, -83.3406972885 42.19552366, -83.3263635635 42.1957462185, -83.328166008 42.2392572484, -83.3311700821 42.2391937041, -83.3403539658 42.2370967069, -83.3636569977 42.2313454932, -83.3655881882 42.2304239794, -83.3680772781 42.228771576, -83.3696651459 42.2282631354, -83.3714675903 42.228390246))"
Daily,2020-03-31,1,Edmonton International,58,POINT (-113.576260685 53.308783098),Leduc County,Alberta,CA-AB,Canada,"POLYGON ((-113.568120003 53.3110445426, -113.571274281 53.3110573629, -113.573355675 53.3111855659, -113.576016426 53.3118137553, -113.579256535 53.313082926, -113.582003117 53.3106214696, -113.581767082 53.3099035181, -113.584663868 53.3095317171, -113.584170341 53.3058904597, -113.568205833 53.3062110053, -113.568120003 53.3110445426))"
Daily,2020-03-31,1,Halifax International,49,POINT (-63.5116720135 44.8830168354),Halifax,Nova Scotia,CA-NS,Canada,"POLYGON ((-63.526661396 44.8984438169, -63.5262107849 44.8968630227, -63.5261034966 44.8957534008, -63.5263395309 44.8936557009, -63.5188508034 44.8888671863, -63.5200738907 44.8877574101, -63.5199666023 44.8872709261, -63.5191512108 44.8867388295, -63.5228204727 44.8831508499, -63.5230350494 44.8816304521, -63.5244941711 44.8808094206, -63.5259962082 44.8793649848, -63.5259532928 44.8789696592, -63.5262537003 44.87884802, -63.5261249542 44.8783158456, -63.5289144516 44.8771906605, -63.5317897797 44.8757157224, -63.5328412056 44.8742711587, -63.5347723961 44.8713819226, -63.5374546051 44.8687358634, -63.5335063934 44.86344338, -63.5317468643 44.8638388123, -63.5298156738 44.863473798, -63.5272407532 44.8632304538, -63.5254812241 44.8640213185, -63.5160827637 44.8735412601, -63.5135507584 44.8749098124, -63.5131645203 44.875791751, -63.5126495361 44.8762783321, -63.5119199753 44.8764303878, -63.5100746155 44.8763695656, -63.5077142715 44.8770386067, -63.5019636154 44.8772210712, -63.4944105148 44.8777076401, -63.4909772873 44.8784374859, -63.4876298904 44.8813567762, -63.4857416153 44.8821473919, -63.4880375862 44.8873773448, -63.4896039963 44.8897337089, -63.489689827 44.8909498591, -63.4900546074 44.8912538926, -63.4906983376 44.8916339322, -63.4921574593 44.8923484, -63.4938311577 44.8930476577, -63.495054245 44.8937773088, -63.4956979752 44.8951453797, -63.4968996048 44.8965590188, -63.5160398483 44.8969694237, -63.5230135918 44.89824622, -63.5255670547 44.8984894161, -63.526661396 44.8984438169))"
