,Date,Open,High,Low,Close,Adj. Close,Volume
0,,,,,,,
1,"Jul 14, 2020","3,089.00","3,125.50","2,950.00","3,031.57","3,031.57","3,745,145"
2,"Jul 13, 2020","3,251.06","3,344.29","3,068.39","3,104.00","3,104.00","7,689,300"
3,"Jul 10, 2020","3,191.76","3,215.00","3,135.70","3,200.00","3,200.00","5,486,000"
4,"Jul 09, 2020","3,115.99","3,193.88","3,074.00","3,182.63","3,182.63","6,388,700"
5,"Jul 08, 2020","3,022.61","3,083.97","3,012.43","3,081.11","3,081.11","5,037,600"
6,"Jul 07, 2020","3,058.55","3,069.55","2,990.00","3,000.12","3,000.12","5,257,500"
7,"Jul 06, 2020","2,934.97","3,059.88","2,930.00","3,057.04","3,057.04","6,880,600"
8,"Jul 02, 2020","2,912.01","2,955.56","2,871.10","2,890.30","2,890.30","6,593,400"
9,"Jul 01, 2020","2,757.99","2,895.00","2,754.00","2,878.70","2,878.70","6,363,400"
10,"Jun 30, 2020","2,685.07","2,769.63","2,675.03","2,758.82","2,758.82","3,769,700"
11,"Jun 29, 2020","2,690.01","2,696.80","2,630.08","2,680.38","2,680.38","4,223,400"
12,"Jun 26, 2020","2,775.06","2,782.57","2,688.00","2,692.87","2,692.87","6,500,800"
13,"Jun 25, 2020","2,739.55","2,756.23","2,712.14","2,754.58","2,754.58","2,968,700"
14,"Jun 24, 2020","2,780.00","2,796.00","2,721.00","2,734.40","2,734.40","4,526,600"
15,"Jun 23, 2020","2,726.02","2,783.11","2,718.04","2,764.41","2,764.41","4,231,700"
16,"Jun 22, 2020","2,684.50","2,715.00","2,669.00","2,713.82","2,713.82","3,208,800"
17,"Jun 19, 2020","2,678.08","2,697.43","2,659.00","2,675.01","2,675.01","5,777,000"
18,"Jun 18, 2020","2,647.01","2,659.64","2,636.11","2,653.98","2,653.98","2,487,800"
19,"Jun 17, 2020","2,647.50","2,655.00","2,631.82","2,640.98","2,640.98","2,951,100"
20,"Jun 16, 2020","2,620.00","2,620.00","2,576.00","2,615.27","2,615.27","3,585,600"
21,"Jun 15, 2020","2,526.60","2,584.00","2,508.00","2,572.68","2,572.68","3,865,100"
22,"Jun 12, 2020","2,601.21","2,621.48","2,503.35","2,545.02","2,545.02","5,429,600"
23,"Jun 11, 2020","2,603.50","2,671.38","2,536.23","2,557.96","2,557.96","5,800,100"
24,"Jun 10, 2020","2,645.00","2,722.35","2,626.26","2,647.45","2,647.45","4,946,000"
25,"Jun 09, 2020","2,529.44","2,626.43","2,525.00","2,600.86","2,600.86","5,176,000"
26,"Jun 08, 2020","2,500.20","2,530.00","2,487.34","2,524.06","2,524.06","3,970,700"
27,"Jun 05, 2020","2,444.51","2,488.65","2,437.13","2,483.00","2,483.00","3,306,400"
28,"Jun 04, 2020","2,477.43","2,507.54","2,450.01","2,460.60","2,460.60","2,948,700"
29,"Jun 03, 2020","2,468.01","2,488.00","2,461.17","2,478.40","2,478.40","2,671,000"
30,"Jun 02, 2020","2,467.00","2,473.53","2,445.31","2,472.41","2,472.41","2,529,900"
31,"Jun 01, 2020","2,448.00","2,476.93","2,444.17","2,471.04","2,471.04","2,928,900"
32,"May 29, 2020","2,415.94","2,442.37","2,398.20","2,442.37","2,442.37","3,529,300"
33,"May 28, 2020","2,384.33","2,436.97","2,378.23","2,401.10","2,401.10","3,190,200"
34,"May 27, 2020","2,404.99","2,413.58","2,330.00","2,410.39","2,410.39","5,056,900"
35,"May 26, 2020","2,458.00","2,462.00","2,414.06","2,421.86","2,421.86","3,568,200"
36,"May 22, 2020","2,455.01","2,469.85","2,430.13","2,436.88","2,436.88","2,867,100"
37,"May 21, 2020","2,500.00","2,525.45","2,442.54","2,446.74","2,446.74","5,114,400"
38,"May 20, 2020","2,477.87","2,500.01","2,467.27","2,497.94","2,497.94","3,998,100"
39,"May 19, 2020","2,429.83","2,485.00","2,428.97","2,449.33","2,449.33","4,320,500"
40,"May 18, 2020","2,404.35","2,433.00","2,384.01","2,426.26","2,426.26","4,366,600"
41,"May 15, 2020","2,368.52","2,411.00","2,356.37","2,409.78","2,409.78","4,235,000"
42,"May 14, 2020","2,361.01","2,391.37","2,353.21","2,388.85","2,388.85","3,648,100"
43,"May 13, 2020","2,366.80","2,407.70","2,337.80","2,367.92","2,367.92","4,782,900"
44,"May 12, 2020","2,411.85","2,419.00","2,355.00","2,356.95","2,356.95","3,074,900"
